OffsetVoltage_CScomp X,
-0.00492641127544426,7
-0.0049239735262975,11
-0.00481483918740627,3
-0.0048145800260722,10
-0.00459493810245402,1
-0.00459404167221953,9
-0.00448347288860944,2
-0.00437475483899917,4
-0.00426406653885375,8
-0.00415383972122954,12
-0.0038248971758268,6
-0.00382403969320001,5
-0.00371403656703179,4
-0.00360459457745704,16
-0.00360443783775971,6
-0.00360424139550976,2
-0.00360295575385179,26
-0.00349374200603497,23
-0.00338492532624619,22
-0.00338483165885089,27
-0.00338471497957337,10
-0.00338419500642347,1
-0.0033828753941552,19
-0.00327460274044628,3
-0.00316485038119309,13
-0.00316440715154739,21
-0.00316428530190765,18
-0.00316426259435537,20
-0.00305477497130418,5
-0.00294485181868047,9
-0.00294484153682485,12
-0.00294467536599227,15
-0.00294463741563192,11
-0.00294416504039849,17
-0.00294407168126763,7
-0.00294380832745724,28
-0.00283482509459064,14
-0.00283429795795001,25
-0.00283409254667528,24
-0.00272433431431142,8
-0.00261435753559449,3
-0.00261426306310694,5
-0.00261422890702982,29
-0.00261415022183996,40
-0.00261394712156319,11
-0.00261393171866594,32
-0.00250486452128381,7
-0.0025047031777286,27
-0.00250455679355936,45
-0.00250424061395278,13
-0.00239465433830825,2
-0.00239444341028281,22
-0.00228500932632576,38
-0.00228389345326556,28
-0.00228268605278262,4
-0.00228216532355779,16
-0.00228170014544831,18
-0.00217494606953449,30
-0.00217486851936467,26
-0.00217436722167622,15
-0.0021742426179446,17
-0.00217392503867444,34
-0.00206518464341873,1
-0.00206494919092967,36
-0.00206485313722092,25
-0.00206476452164796,19
-0.00206408176646735,20
-0.00206343624257465,12
-0.00206336810931954,9
-0.00206203548187489,33
-0.0019546095536459,14
-0.00195406420403829,43
-0.00195392470255822,41
-0.0019538526897637,8
-0.00184520559037645,42
-0.00184497493522575,6
-0.00184456311377955,31
-0.001844539350182,35
-0.00184397231989872,21
-0.00173429549644248,37
-0.001733958290952,39
-0.00173380759998972,24
-0.00162495760366753,23
-0.00162469669980306,10
-0.00162458248884781,44
-0.00151466635282966,27
-0.00151465677111338,17
-0.00151438988204701,39
-0.00151429412639874,49
-0.00151428510328521,35
-0.00151413223805171,42
-0.00151410994485705,32
-0.00151367785252165,15
-0.00151307102518774,7
-0.00151246220962888,55
-0.0014048405130355,33
-0.00140460183170756,66
-0.0014045357283381,21
-0.00140420784881266,12
-0.00140405226681639,25
-0.0014040390991291,3
-0.0014035086017336,38
-0.00140213326412041,4
-0.00129460491544928,67
-0.00129450245998302,60
-0.00129395046644917,41
-0.00129392824216841,16
-0.001293667227286,45
-0.00129360058795241,14
-0.0012917154370956,63
-0.00118456672509445,61
-0.00118448303082969,51
-0.00118437730950052,46
-0.00118426418529747,23
-0.00118422593919164,68
-0.00107469777353076,24
-0.00107457911573514,59
-0.00107421429922523,9
-0.00107420012785342,30
-0.00107378661064834,40
-0.00107370351781864,65
-0.00107369492404342,48
-0.00107349386185054,11
-0.00107313226977245,34
-0.00107265186221229,31
-0.000964551795194978,62
-0.000962864479098766,20
-0.000854375559555157,22
-0.0008541143444032949,54
-0.000853522746507115,37
-0.000853406934096643,52
-0.000852263435663945,1
-0.000744690291105835,56
-0.000744685645693651,8
-0.000744086774682377,43
-0.000743910022567794,50
-0.000742358422559398,13
-0.000634909142970415,5
-0.000634150974155431,44
-0.000634061649215219,19
-0.00063288527264851,47
-0.000631180490331818,64
-0.0005244884970224669,58
-0.000524413002737956,26
-0.000524192843468746,53
-0.000524158028902351,2
-0.000524014494754879,6
-0.000523946130608781,57
-0.000523788510689244,18
-0.000523611392395218,10
-0.000522821342484021,36
-0.000522677097685601,28
-0.000522436540121827,29
-0.000415001128036587,70
-0.000414687585839827,14
-0.000414610536325719,52
-0.000414505111437691,65
-0.000414470796109371,46
-0.0004142692245294,10
-0.000414239012231168,55
-0.00041422177235205,31
-0.00041415280431866,30
-0.000414128964269269,34
-0.000414037891637511,26
-0.000413860723555462,13
-0.000413798749838598,23
-0.00041356755331797,15
-0.000413547579596077,60
-0.000412195302663375,22
-0.00030478619136096,74
-0.000304724463999026,42
-0.000304520640337983,45
-0.000303992270942786,19
-0.000194513763043603,29
-0.000194252076995795,66
-0.000194086974982012,11
-0.000194036512566767,83
-0.000194011057359909,63
-0.000193897647611734,78
-0.000193560392842707,79
-0.000193546484154045,44
-0.000193481981340762,62
-0.000193443602242499,27
-0.000192687999599352,9
-0.000192363347147152,38
-0.000190528073764201,1
-8.44566016586038e-05,18
-8.436348910418089e-05,76
-8.41797434332498e-05,36
-8.41160105391862e-05,41
-8.34695573223584e-05,75
-8.32824432890713e-05,12
-8.23190732352313e-05,33
2.51202008316063e-05,47
2.52506819374641e-05,69
2.53033442222432e-05,72
2.53393214317651e-05,4
2.58895413523325e-05,71
2.5907611019893e-05,49
2.84226307070278e-05,56
0.000135045102627161,24
0.000135188741276061,40
0.000135277862095506,73
0.000135358731259235,77
0.000135383740038475,6
0.000135505651333225,88
0.000135740970500092,3
0.000244850328137186,82
0.000245023208316342,20
0.000245491067715771,50
0.000245567801903327,61
0.000245764051371913,25
0.000245833713771818,87
0.000245996892353331,35
0.000246064956392268,80
0.000246132781937887,84
0.000246301490308071,67
0.000246625726536299,59
0.000355339750875913,58
0.000355474792454462,39
0.000355633329601523,2
0.000355648509447778,37
0.000355703023443424,28
0.000355748024333284,53
0.00035575622250153,85
0.0003560801497233,32
0.000356187343088767,48
0.000356632940244024,8
0.000356723281474666,16
0.000356816384334334,7
