OffsetVoltage_CScomp X,
-0.00602880466283554,1
-0.00440879570184147,3
-0.00434884917104107,7
-0.00422879339785543,6
-0.00410885309523026,1
-0.00410884267981379,5
-0.0038687792916844,4
-0.00380881409458788,2
-0.00374880374586716,14
-0.00350885846066809,8
-0.00338885130223407,4
-0.00320884429244838,5
-0.00320884167410646,9
-0.0032088382411428,7
-0.0031488352695327,15
-0.00308885749507287,1
-0.00308879838475452,2
-0.00284884766512801,11
-0.00284883820810746,3
-0.0027288639697341,6
-0.00272885671187273,10
-0.00260887629202372,12
-0.00260885310882722,13
-0.00260880963455167,23
-0.00254886770378166,26
-0.00254885293320661,30
-0.00254885150841712,25
-0.00248881780006644,44
-0.00248880042974816,10
-0.00242884756390687,5
-0.00230887497416762,37
-0.00230885486781081,3
-0.00230881174054957,34
-0.00230879479584087,32
-0.00224888076866857,7
-0.00224884687807055,2
-0.00218889724794797,43
-0.00218881439950101,21
-0.00200888475833201,12
-0.00194888450673333,35
-0.00194888377302733,14
-0.00194887969370741,15
-0.00194884871654274,39
-0.00194884646665649,1
-0.0019488019124703,33
-0.00194876186011026,29
-0.00188879166666898,41
-0.00188864986009518,11
-0.00182887898949334,19
-0.00182886340218524,4
-0.00182885087366979,17
-0.00182883259578901,28
-0.00182881925392179,9
-0.00176883531334797,38
-0.00176881077047643,16
-0.00176880658685897,18
-0.00176879761049852,13
-0.0017088945055987,40
-0.00170887600485003,8
-0.0017088604082102,6
-0.00170885409242725,36
-0.00164884010685959,42
-0.00158884549540315,20
-0.00158877996078435,22
-0.0015288497803231,27
-0.00152881438242022,24
-0.00146886839676935,31
-0.00140889449757257,52
-0.0014088802629454,9
-0.00140887773076428,12
-0.00134888630165176,28
-0.00134887320803328,23
-0.00134885291695645,19
-0.00134885112222068,3
-0.00134882493548751,33
-0.00134879419198789,73
-0.00128887847117881,65
-0.00128885814810799,72
-0.00128885051349791,46
-0.00128883358072988,56
-0.0012887018491166,5
-0.00122885024518995,51
-0.00122875359962356,45
-0.00116886444314456,55
-0.00116886281066154,22
-0.00110891374023522,61
-0.00110887041897769,25
-0.00110885842468602,38
-0.00104882504057058,37
-0.00104874053110551,32
-0.0009888612041472971,67
-0.000988855237246777,36
-0.000928892751482848,15
-0.000928876627301811,18
-0.000928876075296802,64
-0.00092887409323187,47
-0.000928665829846145,59
-0.000868889671743428,42
-0.000868868519572973,43
-0.000868863572883372,54
-0.000868773328231718,71
-0.00074890344780167,34
-0.00074889497944826,66
-0.000748757051521844,68
-0.000688896585150679,1
-0.000688895582484073,21
-0.000688845481742805,50
-0.000688834271387077,57
-0.000688716500780598,14
-0.000628859295095591,6
-0.000568860691225066,31
-0.000568842929881863,69
-0.000568808125754525,60
-0.000508899253661855,53
-0.000508888678826878,49
-0.0005088654662982369,35
-0.0005088498985948,27
-0.000508847426716892,8
-0.000508841939808932,7
-0.000508840307237151,62
-0.000508813674865515,41
-0.000448878110701995,29
-0.000448875611843683,13
-0.000448871415985703,58
-0.00044885655667686,2
-0.0004488397515821,24
-0.000448837286942899,30
-0.000448761129972152,20
-0.000388913188868673,26
-0.000388879472421828,17
-0.000388879418886209,63
-0.000388866820288449,39
-0.000388861893859445,40
-0.000388848391820082,44
-0.000388829958442562,16
-0.000388795925681087,48
-0.00032889204737434,11
-0.000328887065434121,10
-0.000328877411348009,70
-0.000328854029088131,4
-0.000328844559712343,16
-0.000268910020447922,26
-0.000268776946990583,20
-0.00020889427945205,64
-0.000208893284277055,63
-0.000208873687227532,12
-0.000208865391380566,41
-0.000208776438402691,33
-0.000148838088793829,39
-0.0001488352317368,5
-8.88675971307611e-05,22
-8.88304295043604e-05,35
-2.88806785674235e-05,1
-2.88738749084414e-05,57
3.10858420045352e-05,38
3.10914949837225e-05,43
3.11225690454654e-05,13
3.1181770755016e-05,49
9.110425232483681e-05,4
9.11669837142095e-05,18
0.000151104265796112,60
0.000151107547883998,7
0.000151116302311564,34
0.000151171089987372,61
0.000211124250735293,30
0.000211138161081212,50
0.000211190933252966,28
0.000211251155067506,25
0.000271170096432223,48
0.000271177565862704,54
0.000271181851517101,40
0.000271188216073365,62
0.000331087075898578,36
0.000331089087623741,2
0.000331135225484563,24
0.000331159964127905,14
0.000391104679960605,27
