OffsetVoltage_lewis X,
-0.25039907115054,45
-0.238799103968403,12
-0.232999078911907,7
-0.227199089474444,3
-0.227199035913913,33
-0.215599074706012,25
-0.215599053351141,16
-0.215599010936202,35
-0.209799094422552,34
-0.209799093870231,29
-0.203999031120905,42
-0.192399015706703,1
-0.192398949693321,39
-0.192398567669962,50
-0.186599037393083,10
-0.186598903059277,20
-0.186598698222617,13
-0.186598682277346,17
-0.180799064640341,38
-0.18079903405369,36
-0.174999043808208,22
-0.17499887082349,51
-0.17499887057596,21
-0.169199000465031,9
-0.169198997226512,15
-0.169198986629472,47
-0.163399046500389,2
-0.163399035710773,41
-0.163398987638973,28
-0.16339897503378,6
-0.16339896192527,31
-0.163398719866216,32
-0.157599078084689,23
-0.157598990524186,26
-0.157598960774409,11
-0.15759869984244,19
-0.151799069761868,8
-0.151799054628141,48
-0.151798978538619,18
-0.145999001030436,43
-0.145998831994545,30
-0.140199067177831,5
-0.140199059140242,4
-0.140199035740994,24
-0.140198953392536,49
-0.140198924400545,44
-0.140198892405956,40
-0.140198813867536,46
-0.13439906706952,27
-0.134399062498917,14
-0.134398876781501,37
-0.128599065456266,8
-0.128599062242449,121
-0.128599056431243,56
-0.128599045877964,33
-0.128599028253585,93
-0.128599015153061,126
-0.128599009285406,1
-0.128598989279988,116
-0.128598902745603,92
-0.122799064061911,106
-0.122799022649785,74
-0.122799007905132,55
-0.122798998274838,41
-0.122798973449194,18
-0.122798570063567,42
-0.116999071595959,65
-0.116999020510605,61
-0.116999002711297,4
-0.116998980655106,102
-0.116998774763554,32
-0.111199054450341,120
-0.111198908073312,81
-0.09959904003216299,31
-0.0995990394518404,101
-0.09959902406308251,2
-0.0995989945897774,75
-0.09959892282068809,11
-0.0995989046325635,43
-0.0995988717090405,118
-0.0937990467565664,22
-0.09379903078251429,7
-0.09379900072038511,23
-0.0937989653808773,100
-0.0937989325742091,10
-0.0937988646339714,58
-0.0879990598691925,27
-0.08799904253174611,49
