OffsetVoltage_lewis X,
-0.033699978008765,12
-0.0317999774228125,3
-0.0317999773338845,7
-0.0303999767943496,2
-0.0299999785299597,9
-0.0298999782065692,1
-0.0276999781083788,4
-0.0275999741847233,5
-0.0274999763501253,6
-0.0261999779156384,11
-0.0256999784124055,10
-0.0256999744532533,8
-0.0254999768847814,8
-0.0253999772038751,20
-0.0246999778660671,1
-0.024099974012668,5
-0.0238999763694108,29
-0.0237999742752005,28
-0.0232999757167318,6
-0.0227999782445075,10
-0.0216999780076915,13
-0.0216999730685054,15
-0.0214999745830796,4
-0.0213999780826515,3
-0.0212999755418381,26
-0.0211999778575883,16
-0.0211999775210246,27
-0.0208999772971717,21
-0.0208999771987258,9
-0.0207999729331958,14
-0.0204999782163353,12
-0.0203999769952464,19
-0.0194999701796356,24
-0.0192999771652826,7
-0.0190999775271561,18
-0.0187999751994637,2
-0.0185999782074473,23
-0.0185999759153463,25
-0.018299973533476,22
-0.0179999774736997,11
-0.0177999775098,17
-0.0173999772368756,31
-0.0173999717317172,19
-0.0171999775136324,35
-0.0171999731677623,55
-0.0168999744247778,8
-0.0164999779957391,34
-0.0164999771937149,12
-0.0164999754497374,5
-0.0164999691345231,29
-0.0163999764093111,37
-0.0161999779376683,48
-0.0160999759374744,33
-0.0159999731525662,41
-0.0158999749012068,36
-0.0157999779583919,1
-0.0154999782097776,21
-0.015499976941177,54
-0.0154999732344102,13
-0.0150999755496434,43
-0.015099968214519,22
-0.0148999754067191,46
-0.0147999772078856,49
-0.0146999730356545,42
-0.0140999746875333,32
-0.0139999765438897,51
-0.013999976142022,3
-0.0137999743581688,53
-0.0137999716169636,50
-0.0136999776541268,18
-0.0132999776483311,28
-0.0127999774385866,23
-0.0126999777193348,44
-0.0124999769148866,15
-0.0121999777575657,14
-0.012199977145537,52
-0.0121999765874655,39
-0.0119999774204224,26
-0.0119999750365963,38
-0.0118999765970755,45
-0.0115999782767263,2
-0.0113999768655789,16
-0.0111999780361654,6
-0.0108999773985476,7
-0.0108999771174148,40
-0.0107999770687191,30
-0.0105999782822397,27
-0.0105999778501547,20
-0.0105999761762351,47
-0.0104999777397175,24
-0.0104999750859427,25
-0.0104999739429415,10
-0.0102999720542921,17
-0.0101999761074919,4
-0.00999997522050418,9
-0.009899977986421509,11
-0.00959997708085953,54
-0.009499977463799381,21
-0.009299976962043479,57
-0.00919997782536348,2
-0.009199977648507799,40
-0.00909997636093653,47
