OffsetVoltage_lewis_alt X,
-0.0146699533558438,4
-0.0136799462377575,6
-0.012689948466949,5
-0.0126899394936718,3
-0.0120299475182286,1
-0.0120299452068075,2
-0.010709948918308,10
-0.0103799418720322,6
-0.0103799387555537,7
-0.0100499471746696,9
-0.0100499458274423,4
-0.010049943832943,1
-0.009059948701621121,3
-0.009059947735016,8
-0.009059946701869361,2
-0.00905994662771132,5
-0.008729948862891031,12
-0.00872994817668071,4
-0.008729941230187841,22
-0.00839994852151618,27
-0.00839994715726838,1
-0.00839994069956544,15
-0.00806994961782846,23
-0.00806994823336039,10
-0.008069948005097071,29
-0.00806994443537346,16
-0.00773994254628596,13
-0.00773994252651653,31
-0.00773994120128395,28
-0.0077399376271925,3
-0.00740994354895645,26
-0.00740993948816886,17
-0.0074099393414093,30
-0.00707994913515813,14
-0.0070799491274294,11
-0.00707994817570527,7
-0.00707994220752568,6
-0.00707994061234324,21
-0.00674994907585746,5
-0.00674994797090469,8
-0.00674994617011185,2
-0.00674994479135873,9
-0.00641994903955436,25
-0.00608994897012405,20
-0.00608994621156509,19
-0.00608994489326595,18
-0.00608994303292644,24
-0.00575994859326642,58
-0.00575994839659591,34
-0.00575994774532876,11
-0.00575994635900065,54
-0.00575993905732658,62
-0.00542994792894626,66
-0.00542994695682564,61
-0.00542994472430187,29
-0.00542994463477729,7
-0.0054299431269019,51
-0.00542994291062538,2
-0.00542994275505235,56
-0.00509994888146688,19
-0.00509994807056605,13
-0.00509994590320844,46
-0.00509994480911828,59
-0.00509994092390517,10
-0.00509993646549149,35
-0.00476994841446469,16
-0.00476994831777024,8
-0.00476994142047987,47
-0.00476994124851427,64
-0.00476993704897313,3
-0.00443994866723781,4
-0.00443994863593435,57
-0.00443994843543195,28
-0.00443994826763378,12
-0.00443994771660088,52
-0.00443994769570176,5
-0.00443994426318568,27
-0.0041099487473122,15
-0.00410994869812799,50
-0.00410994540639966,49
-0.00410994458526517,53
-0.00410993860654671,6
-0.00377994921070935,1
-0.00377994878811975,22
-0.00377994691631347,60
-0.00377994635229717,48
-0.00377994607740491,33
-0.00377994580075952,31
-0.0037799455334436,39
-0.00377994536138815,24
-0.00377994514540413,36
-0.0037799420586529,20
-0.00377994098604188,23
-0.00377993860338687,40
-0.00344994910793209,45
-0.00344994897092606,26
-0.00344994888772499,44
-0.00344994882900096,38
-0.00344994877707778,14
-0.00344994781565244,37
-0.00344994742382669,17
-0.00344994728377572,25
-0.00344994595353366,32
-0.00344994572352764,55
-0.00344994485442555,18
-0.00344994203939759,43
-0.00311994855366992,63
-0.00311994817734371,9
-0.00311994805490032,65
-0.00311994799787753,30
