OffsetVoltage_lewis_alt X,
-0.00389986896082156,8
-0.00379987176475298,5
-0.0035998706226283,6
-0.00339987147326863,4
-0.00339986696412458,3
-0.00319987157643586,2
-0.00309986909435244,1
-0.0030998617272933,7
-0.00299986690270086,8
-0.00289987595614811,7
-0.00279987101651658,12
-0.00269987496512296,10
-0.00259987520014311,3
-0.00259987023116645,20
-0.00259986319504859,14
-0.00259985744648694,16
-0.00249987622545819,2
-0.00239986996787003,15
-0.00239986790443614,1
-0.00239986610387497,4
-0.00229987390925512,5
-0.00229986869242161,18
-0.00229986037951937,6
-0.00229985389726334,17
-0.00219987872376413,9
-0.00219987413086203,11
-0.00219987164251238,13
-0.00219987127526336,19
-0.00209987256902492,41
-0.00209986678192899,49
-0.00199987088588682,5
-0.00199986998817619,21
-0.00199985032041906,18
-0.00189987620033832,24
-0.00189987196406148,4
-0.00189986895423469,43
-0.00189986867347428,7
-0.00189986460420505,32
-0.00189986368520716,31
-0.00179987593364899,26
-0.00179987474409622,9
-0.00179987377425807,17
-0.00179987318185506,27
-0.00179987199500847,13
-0.00179987165761072,22
-0.0017998706047066,19
-0.00169987439460132,28
-0.00169987113838849,12
-0.00159987526512974,8
-0.00159987487262162,10
-0.00159987352213119,11
-0.00159987317788526,36
-0.00159987077396818,1
-0.00159986887594158,16
-0.00159986781587452,23
-0.00159986249645231,15
-0.00149987763351632,35
-0.00149987498261798,25
-0.00149987432781362,47
-0.00149987325079453,2
-0.001499872826096,45
-0.00149987277322724,38
-0.00149987248185678,20
-0.00139987478900751,46
-0.00139987206612128,48
-0.0013998715028647,14
-0.00139987062482424,33
-0.00139987048212083,40
-0.00139986864971522,34
-0.00139985785452487,29
-0.00129987605602777,44
-0.0012998745305515,37
-0.00129987449242021,30
-0.00129987434587518,3
-0.00129987365800509,6
-0.00129987095455661,39
-0.00129985705551029,42
-0.00119987638253197,20
-0.00119987451933936,19
-0.00119987218315685,23
-0.00119987206589873,45
-0.00119987020512737,33
-0.0011998668510196,40
-0.0010998778467704,2
-0.0010998757895714,8
-0.00109987462601993,52
-0.00109987454211417,59
-0.00109987447589147,43
-0.00109987208777036,48
-0.00109987095924399,7
-0.00109986934550521,39
-0.00109986894217297,50
-0.0010998469905773,56
-0.000999875956736294,42
-0.0009998753454909519,27
-0.000999873522577749,24
-0.000999872364006088,16
-0.000999871905523518,26
-0.0009998702855500169,47
-0.0009998669773196101,49
-0.000899875838928065,15
-0.0008998733457885461,4
-0.000899872790651659,46
-0.000899872398581593,9
-0.000899870145120623,57
-0.00089986880713194,60
-0.000899868743643918,13
-0.000899867204031814,3
-0.0008998671792570659,10
-0.000899860565684268,18
-0.000799876290740879,21
-0.000799874014591127,38
-0.000799873112690045,17
-0.000799872742128865,5
-0.000799872035907337,34
-0.000799871624907348,36
-0.000799871143207538,6
-0.000799870742351062,51
-0.000799869750954598,31
-0.000799868142406707,53
-0.00079986660644875,44
-0.000799860597502249,30
-0.000699875129987654,28
-0.000699874246761338,1
-0.000599875225015313,61
-0.00059987347220816,22
-0.000599871353919211,58
-0.00059987109194923,41
