pulse_out X,pulse_out Y,pulse_in X,pulse_in Y
0,0.3919131390257322,0,0.59
4.539628899737527e-13,0.391913138352077,4.539628899737527e-13,0.59
8.164776813684692e-13,0.3919131378141926,8.164776813684692e-13,0.59
1.541507264157902e-12,0.3919131367385852,1.541507264157902e-12,0.59
2.991566429736768e-12,0.3919131345881433,2.991566429736768e-12,0.59
5.8916847608945e-12,0.391913130290452,5.8916847608945e-12,0.59
1.169192142320996e-11,0.3919131217079056,1.169192142320996e-11,0.59
1.82055922889565e-11,0.3919131120900883,1.82055922889565e-11,0.59
2.466223835721713e-11,0.3919131025777248,2.466223835721713e-11,0.59
3.19923367200215e-11,0.3919130918041224,3.19923367200215e-11,0.59
4.145803739661176e-11,0.3919130779318071,4.145803739661176e-11,0.59
5.441730349136615e-11,0.3919130590126628,5.441730349136615e-11,0.59
7.341620585715622e-11,0.3919130314282677,7.341620585715622e-11,0.59
1.019671001752352e-10,0.391912990312655,1.019671001752352e-10,0.59
1.471734394746411e-10,0.39191292603063,1.471734394746411e-10,0.59
1.95360539691839e-10,0.3919128586003724,1.95360539691839e-10,0.59
2.344759619189861e-10,0.3919128046809095,2.344759619189861e-10,0.59
2.672379809594931e-10,0.3919127600751611,2.672379809594931e-10,0.59
3e-10,0.3919127159695989,3e-10,0.59
3.033206411464244e-10,0.3919127115296356,3.033206411464244e-10,0.59
3.069182614805507e-10,0.3919127067232412,3.069182614805507e-10,0.59
3.122527694398215e-10,0.3919126996064405,3.122527694398215e-10,0.59
3.229217853583632e-10,0.3919126854112996,3.229217853583632e-10,0.59
3.442598171954465e-10,0.3919126571760915,3.442598171954465e-10,0.59
3.869358808696131e-10,0.3919126013214777,3.869358808696131e-10,0.59
4.4198865331902e-10,0.3919125304647278,4.4198865331902e-10,0.59
5.10033476312725e-10,0.3919124447143402,5.10033476312725e-10,0.59
6.414556100553378e-10,0.3919122846294,6.414556100553378e-10,0.59
9.042998775405635e-10,0.3919119850543502,9.042998775405635e-10,0.59
1.194033502146587e-09,0.3919116843598675,1.194033502146587e-09,0.59
1.469170744849265e-09,0.3919114251266364,1.469170744849265e-09,0.59
1.720491318644249e-09,0.3919112088414355,1.720491318644249e-09,0.59
1.961943421044236e-09,0.3919110179286885,1.961943421044236e-09,0.59
2.213205351656836e-09,0.3919108353233565,2.213205351656836e-09,0.59
2.497060221378187e-09,0.3919106469725636,2.497060221378187e-09,0.59
2.85530093181181e-09,0.3919104336391965,2.85530093181181e-09,0.59
3.270271817453022e-09,0.3919102166250949,3.270271817453022e-09,0.59
3.717467328333794e-09,0.3919100143241585,3.717467328333794e-09,0.59
4.096101411845709e-09,0.391909865523811,4.096101411845709e-09,0.59
4.450961968567505e-09,0.391909742427868,4.450961968567505e-09,0.59
4.808906285552184e-09,0.3919096323158584,4.808906285552184e-09,0.59
5.186615504675625e-09,0.3919095295411725,5.186615504675625e-09,0.59
5.601156955036505e-09,0.3919094305730405,5.601156955036505e-09,0.59
6.064770762102122e-09,0.3919093346847505,6.064770762102122e-09,0.59
6.591169269048421e-09,0.3919092419029102,6.591169269048421e-09,0.59
7.20144381872307e-09,0.3919091521453597,7.20144381872307e-09,0.59
7.93217607045175e-09,0.3919090649592942,7.93217607045175e-09,0.59
8.857251531307213e-09,0.3919089790178101,8.857251531307213e-09,0.59
1.010735439275785e-08,0.3919088940205397,1.010735439275785e-08,0.59
1.154091801297659e-08,0.3919088265446464,1.154091801297659e-08,0.59
1.310643871765058e-08,0.3919087761766275,1.310643871765058e-08,0.59
1.458912848762017e-08,0.3919087424200172,1.458912848762017e-08,0.59
1.608386045398589e-08,0.3919087165194993,1.608386045398589e-08,0.59
1.768947857514755e-08,0.3919086939372718,1.768947857514755e-08,0.59
1.945164266479248e-08,0.3919086727402331,1.945164266479248e-08,0.59
2.142446132627229e-08,0.3919086516072028,2.142446132627229e-08,0.59
2.368404316279809e-08,0.391908629481564,2.368404316279809e-08,0.59
2.632603349470458e-08,0.3919086055563217,2.632603349470458e-08,0.59
2.94904992735791e-08,0.3919085791121638,2.94904992735791e-08,0.59
3.335157938713847e-08,0.3919085498157572,3.335157938713847e-08,0.59
3.822386567490684e-08,0.3919085173661859,3.822386567490684e-08,0.59
4.497484230563921e-08,0.3919084806117053,4.497484230563921e-08,0.59
5.303005574331465e-08,0.3919084489060524,5.303005574331465e-08,0.59
5.804491074066891e-08,0.3919084356610743,5.804491074066891e-08,0.59
6.359910424154584e-08,0.3919084265641354,6.359910424154584e-08,0.59
6.796127843903513e-08,0.3919084233769475,6.796127843903513e-08,0.59
7.22122252795958e-08,0.3919084234861661,7.22122252795958e-08,0.59
7.677014761360427e-08,0.3919084269821086,7.677014761360427e-08,0.59
8.147481819863837e-08,0.3919084341008365,8.147481819863837e-08,0.59
8.624821640609158e-08,0.3919084448033721,8.624821640609158e-08,0.59
9.110539538907335e-08,0.3919084591202139,9.110539538907335e-08,0.59
9.599205522605232e-08,0.3919084768391356,9.599205522605232e-08,0.59
1.008660408240804e-07,0.3919084976554201,1.008660408240804e-07,0.59
1.058151266514248e-07,0.3919085218345307,1.058151266514248e-07,0.59
1.113104476318011e-07,0.3919085520661254,1.113104476318011e-07,0.59
1.157297415480844e-07,0.3919085788298926,1.157297415480844e-07,0.59
1.205931415098063e-07,0.3919086106610895,1.205931415098063e-07,0.59
1.250438464870478e-07,0.3919086418590456,1.250438464870478e-07,0.59
1.297406026378055e-07,0.3919086768028185,1.297406026378055e-07,0.59
1.354561429768687e-07,0.3919087219466201,1.354561429768687e-07,0.59
1.431314107125187e-07,0.3919087867365955,1.431314107125187e-07,0.59
1.545858871503939e-07,0.3919088913288537,1.545858871503939e-07,0.59
1.725308042970052e-07,0.3919090710127077,1.725308042970052e-07,0.59
1.968653866223897e-07,0.3919093380353219,1.968653866223897e-07,0.59
2.067660236592685e-07,0.3919094530524552,2.067660236592685e-07,0.59
2.197209750570475e-07,0.3919096073641555,2.197209750570475e-07,0.59
2.296994162279552e-07,0.3919097284168656,2.296994162279552e-07,0.59
2.415834991411482e-07,0.391909874197745,2.415834991411482e-07,0.59
2.532061517537244e-07,0.3919100177297887,2.532061517537244e-07,0.59
2.636117863654311e-07,0.3919101465012364,2.636117863654311e-07,0.59
2.761458528331298e-07,0.3919103012526819,2.761458528331298e-07,0.59
2.901942633478043e-07,0.3919104734025557,2.901942633478043e-07,0.59
3.095333735239536e-07,0.3919107065270589,3.095333735239536e-07,0.59
3.365264909220099e-07,0.3919110210671866,3.365264909220099e-07,0.59
3.680048205548763e-07,0.3919113671718264,3.680048205548763e-07,0.59
4.026185358510394e-07,0.3919117168808288,4.026185358510394e-07,0.59
4.446272872181064e-07,0.3919120922042115,4.446272872181064e-07,0.59
4.924246001816572e-07,0.3919124498023519,4.924246001816572e-07,0.59
5.467296141119752e-07,0.3919127664316872,5.467296141119752e-07,0.59
6.091870864248693e-07,0.3919130202191419,6.091870864248693e-07,0.59
6.813901400076264e-07,0.3919131863344749,6.813901400076264e-07,0.59
7.655271992273328e-07,0.3919132458461488,7.655271992273328e-07,0.59
8.639562243959711e-07,0.3919131935471588,8.639562243959711e-07,0.59
9.797430404531376e-07,0.3919130481468699,9.797430404531376e-07,0.59
1.116494169600263e-06,0.3919128562775596,1.116494169600263e-06,0.59
1.278643097886958e-06,0.3919126831787957,1.278643097886958e-06,0.59
1.471673870119564e-06,0.3919125862310213,1.471673870119564e-06,0.59
1.702235939697683e-06,0.391912582159374,1.702235939697683e-06,0.59
1.97879655471972e-06,0.3919126345679015,1.97879655471972e-06,0.59
2.311674409723595e-06,0.3919126830579092,2.311674409723595e-06,0.59
2.710725863294124e-06,0.3919126942862087,2.710725863294124e-06,0.59
3.182254630502459e-06,0.391912681634791,3.182254630502459e-06,0.59
3.741388419505259e-06,0.3919126718512604,3.741388419505259e-06,0.59
4.405724460500989e-06,0.3919126720094157,4.405724460500989e-06,0.59
5.196931736818286e-06,0.3919126745268121,5.196931736818286e-06,0.59
6.116674427597306e-06,0.391912674977665,6.116674427597306e-06,0.59
7.116674427597307e-06,0.3919126745937373,7.116674427597307e-06,0.59
8.116674427597308e-06,0.3919126744832886,8.116674427597308e-06,0.59
9.116674427597308e-06,0.3919126745217434,9.116674427597308e-06,0.59
1e-05,0.3919126745403679,1e-05,0.59
1.000001e-05,0.3919131105761428,1.000001e-05,0.61
1.000001263529064e-05,0.3919131772083345,1.000001263529064e-05,0.61
1.000001558384645e-05,0.3919132535148577,1.000001558384645e-05,0.61
1.000001839061885e-05,0.3919133237580636,1.000001839061885e-05,0.61
1.000002400416365e-05,0.3919134634235553,1.000002400416365e-05,0.61
1.000003523125325e-05,0.3919137392193388,1.000003523125325e-05,0.61
1.000005768543244e-05,0.3919142768070472,1.000005768543244e-05,0.61
1.000010259379083e-05,0.391915297026863,1.000010259379083e-05,0.61
1.000019241050762e-05,0.3919171257746015,1.000019241050762e-05,0.61
1.000037204394118e-05,0.3919199959235494,1.000037204394118e-05,0.61
1.00007313108083e-05,0.3919229897673903,1.00007313108083e-05,0.61
1.000113521999294e-05,0.3919226607481714,1.000113521999294e-05,0.61
1.000158513495989e-05,0.3919185734997151,1.000158513495989e-05,0.61
1.000210901047607e-05,0.3919099928561736,1.000210901047607e-05,0.61
1.00027388803051e-05,0.3918957134759378,1.00027388803051e-05,0.61
1.000354364459097e-05,0.3918734109676396,1.000354364459097e-05,0.61
1.000464805821214e-05,0.3918393421780591,1.000464805821214e-05,0.61
1.000632613665616e-05,0.3917883842005366,1.000632613665616e-05,0.61
1.000939835571286e-05,0.3917219953871565,1.000939835571286e-05,0.61
1.001381008469772e-05,0.3917234966425519,1.001381008469772e-05,0.61
1.001962480266464e-05,0.3919324306679729,1.001962480266464e-05,0.61
1.002769363212094e-05,0.3926296606155593,1.002769363212094e-05,0.61
1.00408144222291e-05,0.3947650052121641,1.00408144222291e-05,0.61
1.006705600244542e-05,0.402597584004627,1.006705600244542e-05,0.61
1.010577987623385e-05,0.4220477286696049,1.010577987623385e-05,0.61
1.014116696104479e-05,0.4469652579083474,1.014116696104479e-05,0.61
1.017429332639544e-05,0.475263217721194,1.017429332639544e-05,0.61
1.020616785119309e-05,0.5058385812044526,1.020616785119309e-05,0.61
1.023733308242785e-05,0.5378003061176303,1.023733308242785e-05,0.61
1.026898567368215e-05,0.5712986589115723,1.026898567368215e-05,0.61
1.030196337006183e-05,0.6062834949973553,1.030196337006183e-05,0.61
1.033696333094578e-05,0.6425009616967201,1.033696333094578e-05,0.61
1.037482423381277e-05,0.6796119334952845,1.037482423381277e-05,0.61
1.041626198224724e-05,0.7168251678464301,1.041626198224724e-05,0.61
1.046327706074989e-05,0.7538535493520584,1.046327706074989e-05,0.61
1.051814134075187e-05,0.7893339333020125,1.051814134075187e-05,0.61
1.058623284761256e-05,0.821484503261911,1.058623284761256e-05,0.61
1.066006542347644e-05,0.8430135695564486,1.066006542347644e-05,0.61
1.073418890450841e-05,0.853768045024525,1.073418890450841e-05,0.61
1.07952188644918e-05,0.8565297223665546,1.07952188644918e-05,0.61
1.085586538169494e-05,0.8553948126573022,1.085586538169494e-05,0.61
1.092068577005649e-05,0.8513162426703162,1.092068577005649e-05,0.61
1.098981775313498e-05,0.8450238891704404,1.098981775313498e-05,0.61
1.106462982316765e-05,0.8372297990631401,1.106462982316765e-05,0.61
1.114631850099295e-05,0.8287559706246908,1.114631850099295e-05,0.61
1.123686270290369e-05,0.8204835184696809,1.123686270290369e-05,0.61
1.134070306028996e-05,0.8132645863651538,1.134070306028996e-05,0.61
1.14327595071068e-05,0.8090946202727564,1.14327595071068e-05,0.61
1.154042064692192e-05,0.8066379697415107,1.154042064692192e-05,0.61
1.163567249395576e-05,0.8061594790625225,1.163567249395576e-05,0.61
1.178471806355075e-05,0.8072120340097517,1.178471806355075e-05,0.61
1.192187542442014e-05,0.8089777296464873,1.192187542442014e-05,0.61
1.207690495001901e-05,0.8108449584690919,1.207690495001901e-05,0.61
1.225874955610875e-05,0.8122201682176432,1.225874955610875e-05,0.61
1.248402884797395e-05,0.8127417057397767,1.248402884797395e-05,0.61
1.272701277045634e-05,0.8124815634655034,1.272701277045634e-05,0.61
1.30297096490363e-05,0.8119438185116878,1.30297096490363e-05,0.61
1.337956456629325e-05,0.8116238696542993,1.337956456629325e-05,0.61
1.385748375670276e-05,0.811629335547998,1.385748375670276e-05,0.61
1.45600874774622e-05,0.8117738844647109,1.45600874774622e-05,0.61
1.538801882555168e-05,0.8118096589240253,1.538801882555168e-05,0.61
1.638801882555168e-05,0.811784286929305,1.638801882555168e-05,0.61
1.738801882555168e-05,0.8117744859522966,1.738801882555168e-05,0.61
1.838801882555168e-05,0.8117767707441652,1.838801882555168e-05,0.61
1.919400941277584e-05,0.81177836597715,1.919400941277584e-05,0.61
2e-05,0.811778401296265,2e-05,0.61
2.000001e-05,0.8117781908720768,2.000001e-05,0.59
2.000001263529064e-05,0.8117781268222707,2.000001263529064e-05,0.59
2.000001558384645e-05,0.81177805404092,2.000001558384645e-05,0.59
2.000001839061885e-05,0.8117779861660853,2.000001839061885e-05,0.59
2.000002400416365e-05,0.8117778512298874,2.000002400416365e-05,0.59
2.000003523125325e-05,0.8117775846965827,2.000003523125325e-05,0.59
2.000005768543244e-05,0.811777064934767,2.000005768543244e-05,0.59
2.000010259379084e-05,0.8117760776800802,2.000010259379084e-05,0.59
2.000019241050762e-05,0.8117743046358531,2.000019241050762e-05,0.59
2.000037204394118e-05,0.8117715085761376,2.000037204394118e-05,0.59
2.00007313108083e-05,0.8117685356095635,2.00007313108083e-05,0.59
2.000113735917538e-05,0.8117687250126016,2.000113735917538e-05,0.59
2.000158957649779e-05,0.8117725056501066,2.000158957649779e-05,0.59
2.000211596642055e-05,0.8117805366950286,2.000211596642055e-05,0.59
2.000274952280132e-05,0.8117938963557849,2.000274952280132e-05,0.59
2.000356127233029e-05,0.8118146329616031,2.000356127233029e-05,0.59
2.000468163158728e-05,0.8118458433556799,2.000468163158728e-05,0.59
2.00064021483331e-05,0.8118905781643934,2.00064021483331e-05,0.59
2.000963296348152e-05,0.8119369278147571,2.000963296348152e-05,0.59
2.001404983573741e-05,0.8118863175327058,2.001404983573741e-05,0.59
2.001978092281001e-05,0.8115978463823246,2.001978092281001e-05,0.59
2.002773234671321e-05,0.8107724769517165,2.002773234671321e-05,0.59
2.003999429165235e-05,0.8085640417371351,2.003999429165235e-05,0.59
2.006451818153064e-05,0.800979166337797,2.006451818153064e-05,0.59
2.009752461195242e-05,0.7847319983409164,2.009752461195242e-05,0.59
2.013745353000146e-05,0.7572538973671328,2.013745353000146e-05,0.59
2.017750117592771e-05,0.7230902000487034,2.017750117592771e-05,0.59
2.021526370985219e-05,0.6867435614970989,2.021526370985219e-05,0.59
2.025254509537005e-05,0.6486461807516971,2.025254509537005e-05,0.59
2.029063444444865e-05,0.6089971877409385,2.029063444444865e-05,0.59
2.033045053138923e-05,0.5681933285997894,2.033045053138923e-05,0.59
2.037282171984011e-05,0.5268342214716076,2.037282171984011e-05,0.59
2.041855607178216e-05,0.485831353184437,2.041855607178216e-05,0.59
2.046883037227788e-05,0.4462570674662051,2.046883037227788e-05,0.59
2.052554477036677e-05,0.4094568595331224,2.052554477036677e-05,0.59
