Loop Gain Phase X,Loop Gain Phase Y,Loop Gain dB20 X,Loop Gain dB20 Y
1,-168.892172015911,1,78.8776162053676
1.445439770745927,-143.6245010666401,1.445439770745927,74.72665842933928
2.089296130854039,-117.6026019470693,2.089296130854039,71.03631774431288
3.019951720402016,-92.42926922297322,3.019951720402016,68.09691644962029
4.365158322401658,-69.61745952037046,4.365158322401658,66.01043459060108
6.309573444801931,-50.2965531473618,6.309573444801931,64.691390660278
9.120108393559095,-34.85942830536563,9.120108393559095,63.93738807330934
13.18256738556407,-22.91707161944769,13.18256738556407,63.53384716249765
19.05460717963247,-13.63059862811242,19.05460717963247,63.31944651507268
27.54228703338165,-6.050657060094585,27.54228703338165,63.19117506744447
39.81071705534971,0.7244539313526207,39.81071705534971,63.08145679908749
57.54399373371566,7.517062530938092,57.54399373371566,62.93158397130301
83.17637711026705,15.05759802410065,83.17637711026705,62.66676639292992
120.2264434617412,23.88860573427636,120.2264434617412,62.1747343239965
173.7800828749374,34.11757093355192,173.7800828749374,61.30319698256105
251.1886431509578,45.14213278063817,251.1886431509578,59.90668791889934
363.0780547701011,55.77485792953939,363.0780547701011,57.93579751568505
524.8074602497721,64.91221891627039,524.8074602497721,55.4754692374845
758.5775750291831,72.07821257224586,758.5775750291831,52.67971292221314
1096.478196143184,77.37204501057278,1096.478196143184,49.68738219729416
1584.893192461112,81.14738616209803,1584.893192461112,46.59040662128233
2290.867652767771,83.78234585499678,2290.867652767771,43.4405924092903
3311.311214825907,85.58919546461279,3311.311214825907,40.26481187842126
4786.300923226378,86.79907987276611,4786.300923226378,37.07643559046353
6918.309709189358,87.57240483825247,6918.309709189358,33.88197565747176
9999.999999999989,88.01343310427353,9999.999999999989,30.6845578526369
14454.39770745926,88.18207584642462,14454.39770745926,27.48564392968339
20892.96130854037,88.10127534949352,20892.96130854037,24.28584958993003
30199.51720402012,87.75987265447758,30199.51720402012,21.08529138877635
43651.58322401653,87.11098646579606,43651.58322401653,17.88365212456259
63095.73444801923,86.06555489278036,63095.73444801923,14.68000024516983
91201.08393559082,84.48012444030815,91201.08393559082,11.47225953550861
131825.6738556405,82.13723301403306,131825.6738556405,8.256023914513278
190546.0717963244,78.71580041746661,190546.0717963244,5.02202925361341
275422.8703338162,73.74784309922272,275422.8703338162,1.750776939763586
398107.1705534965,66.55703972926364,398107.1705534965,-1.599053366035031
575439.9373371558,56.17768795425783,575439.9373371558,-5.116353632271391
831763.7711026693,41.28382334900432,831763.7711026693,-8.997463910210016
1202264.43461741,20.35426411345615,1202264.43461741,-13.68422968633949
1737800.828749372,-7.153344313826342,1737800.828749372,-20.10598986326579
2511886.431509574,-39.37948720430795,2511886.431509574,-30.14793765975011
3630780.547701005,-140.8825893451107,3630780.547701005,-61.72637329482406
5248074.602497714,-275.2300366330987,5248074.602497714,-41.89943043468931
7585775.75029182,-303.1622201554866,7585775.75029182,-42.8757391254863
10964781.96143182,-324.9134816998475,10964781.96143182,-46.80963567294015
15848931.9246111,-340.163282485441,15848931.9246111,-51.56414594806436
22908676.52767767,-349.5874420555761,22908676.52767767,-55.97624501179449
33113112.14825903,-354.7804397612492,33113112.14825903,-59.38174421525815
47863009.23226371,-357.3852827558381,47863009.23226371,-61.62939428885469
69183097.09189346,-358.616837017427,69183097.09189346,-62.93824834950506
100000000,-359.1971756188731,100000000,-63.63703977794194
