Loop Gain Phase X,Loop Gain Phase Y,Loop Gain dB20 X,Loop Gain dB20 Y
1,118.9186315596103,1,92.46831457911173
1.445439770745927,126.7491420847377,1.445439770745927,90.34187209915294
2.089296130854039,134.5916618192917,2.089296130854039,88.75921886700289
3.019951720402016,140.7987101503051,3.019951720402016,87.68699372898243
4.365158322401658,144.0809083016122,4.365158322401658,86.95668847214489
6.309573444801931,143.8293415198103,6.309573444801931,86.3381967189048
9.120108393559095,140.0476648621667,9.120108393559095,85.59074090426157
13.18256738556407,133.3562096743516,13.18256738556407,84.48620812084047
19.05460717963247,125.0436305704047,19.05460717963247,82.8632276261397
27.54228703338165,116.6995316326049,27.54228703338165,80.69884340129661
39.81071705534971,109.500548588237,39.81071705534971,78.1019591258642
57.54399373371566,103.8787768489642,57.54399373371566,75.2241829830985
83.17637711026705,99.73784269575307,83.17637711026705,72.18752754515033
120.2264434617412,96.78151824053428,120.2264434617412,69.067991093302
173.7800828749374,94.70369344875492,173.7800828749374,65.90704965222801
251.1886431509578,93.25385615472561,251.1886431509578,62.72587209744759
363.0780547701011,92.24476463282475,363.0780547701011,59.53491063051415
524.8074602497721,91.5418466430955,524.8074602497721,56.33924344426094
758.5775750291831,91.04992635065842,758.5775750291831,53.14131858399562
1096.478196143184,90.70191386237869,1096.478196143184,49.94231166529904
1584.893192461112,90.45018193023961,1584.893192461112,46.74278601746812
2290.867652767771,90.26022306506967,2290.867652767771,43.54301088450578
3311.311214825907,90.10597735320131,3311.311214825907,40.34311393922785
4786.300923226378,89.96627663528525,4786.300923226378,37.14315370106016
6918.309709189358,89.82194584718347,6918.309709189358,33.94315274986742
9999.999999999989,89.65317321823153,9999.999999999989,30.74311054466384
14454.39770745926,89.43679153746722,14454.39770745926,27.54300311435334
20892.96130854037,89.14309842381692,20892.96130854037,24.34276943962523
30199.51720402012,88.73177972740248,30199.51720402012,21.14227678080408
43651.58322401653,88.14637738379899,43651.58322401653,17.94124521462524
63095.73444801923,87.30654485912386,63095.73444801923,14.73908832357925
91201.08393559082,86.09703511014999,91201.08393559082,11.53457869814325
131825.6738556405,84.35193650346444,131825.6738556405,8.325144557745318
190546.0717963244,81.83209240048973,190546.0717963244,5.105382155354864
275422.8703338162,78.19301563790958,275422.8703338162,1.863873344387883
398107.1705534965,72.94078871136016,398107.1705534965,-1.423755442843633
575439.9373371558,65.37925769652804,575439.9373371558,-4.810332862883143
831763.7711026693,54.58669230140373,831763.7711026693,-8.411720924752208
1202264.43461741,39.60493834191857,1202264.43461741,-12.47484913389977
1737800.828749372,20.32739130384942,1737800.828749372,-17.45072388487149
2511886.431509574,-0.8408470180811636,2511886.431509574,-23.90286446604021
3630780.547701005,-18.15962323754991,3630780.547701005,-32.22083492558559
5248074.602497714,-20.12029264635121,5248074.602497714,-42.25574604556243
7585775.75029182,5.300854425439503,7585775.75029182,-50.14021960607821
10964781.96143182,17.54774686353969,10964781.96143182,-53.53321681702042
15848931.9246111,11.64478616008886,15848931.9246111,-57.32621935993687
22908676.52767767,0.8780333913420159,22908676.52767767,-61.92495230601281
33113112.14825903,-10.17123245861755,33113112.14825903,-66.74144015854966
47863009.23226371,-19.20857214202694,47863009.23226371,-71.28654618329301
69183097.09189346,-24.24861998442736,69183097.09189346,-75.21322143041922
100000000,-24.3291072530952,100000000,-78.26679111000645
